intitule,adresse,codepostal,ville,telephone,latitude,longitude,
Conseil départemental d'accès au droit du Nord,Tribunal de Grande Instance 13 avenue du Peuple Belge ,59034,LILLE CEDEX,+33 3 20 78 33 33,50.6433964,3.0627244,
Cour d'Appel de Douai,Place Charles de Pollinchove B.P. 705 ,59507,DOUAI CEDEX,+33 3 27 93 27 00,50.370402,3.078225,
Permanence d’information et d’orientation juridiques de Cambrai,Tribunal de grande instance Palais de Justice Rue du Chateau de Selles,59400,CAMBRAI,+33 3 27 78 29 76,50.1817035,3.2286309,
Permanence d’information et d’orientation juridiques de Bauvin,Mairie Rue Ghesquières ,59221,BAUVIN,,50.516381,2.8941165,
Conseil de Prud'hommes de Montauban,16 Place de l'Hôtel de Ville  ,82013,MONTAUBAN CEDEX,+33 5 63 63 51 13,44.016448,1.352893,
Maison de Justice et du Droit de Aulnoy-Aymeries,1 Avenue Joliot Curie  ,59620,Aulnoye-Aymeries,+33 3 27 66 99 00,50.206769,3.843379,
Antenne de justice d'Armentières,58 rue Jules Ferry  ,59280,ARMENTIERES,+33 3 20 10 80 60,50.68152,2.882168,
Permanence d’information et d’orientation juridiques d'Annoeullin,Mairie Grand'place ,59112,ANNOEULLIN,,50.5293038,2.9315889,
Point d'accès au droit de Villeneuve D’Ascq,Maison de la Médiation 72 Chaussée de l'Hôtel de Ville ,59650,VILLENEUVE D ASCQ,+33 3 28 80 02 80,50.6206634,3.1301371,
Permanence d’information et d’orientation juridiques de Douai,Maison de l'avocat 70 rue Merlin de Douai ,59500,DOUAI,+33 3 27 71 59 90,50.3695442,3.0784224,
Maison de Justice et du Droit de Denain,117 Rue de Villars  ,59220,Denain,+33 3 27 43 69 30,50.326946,3.393332,
Conseil de Prud'hommes de Toulon,114 Avenue Lazare Carnot  ,83000,TOULON,+33 4 94 18 99 77,43.127632,5.924892,
Conseil de Prud'hommes de Limoges,41 Boulevard Carnot B.P. 20 ,87001,LIMOGES CEDEX 1,+33 5 55 79 72 42,45.83297,1.258953,
Conseil de Prud'hommes de Poitiers,15 Rue Guillaume Troubadour Lotissement de l'Hôtel Dieu ,86000,POITIERS,+33 5 49 41 18 85,46.587179,0.344064,
Conseil de Prud'hommes des Sables d'Olonne,20 Rue Nicot  ,85100,LES SABLES D'OLONNE,+33 2 51 32 01 39,46.498713,-1.783228,
Conseil de Prud'hommes de la Roche-sur-Yon,18 impasse Gaston Chavatte BP 758 ,85018,LA ROCHE SUR YON CEDEX,+33 2 51 37 43 16,46.667174,-1.417964,
Antenne de justice de Jeumont,Centre administratif Georges Pompidou 4ème étage ,59460,JEUMONT,+33 3 27 68 99 00,50.287681,4.1008,
Permanence d’information et d’orientation juridiques de Hazebrouck,Maison du Département Rue Donckèle ,59190,HAZEBROUCK,,50.7243719,2.5386958,
Antenne de justice de Fourmies,Locaux du Conseil de Prud'hommes 1 place Georges Coppeaux ,59610,FOURMIES,+33 3 27 68 99 00,50.015383,4.040227,
Permanence d’information et d’orientation juridiques de Provin,Mairie 40 rue Nationale ,59185,PROVIN,,50.512353,2.9143424,
Permanence d’information et d’orientation juridiques de Mouvaux,Mairie 42 boulevard Carnot ,59420,MOUVAUX,,50.7019913,3.140393,
Permanence d’information et d’orientation juridiques de Mons-En-Baroeul,Maison des Jeunes et de la Culture 2 boulevard Napoléon 1er ,59370,MONS EN BAROEUL,,50.6427719,3.1108888,
Permanence d’information et d’orientation juridiques de Lille,ADNSEA - Service Droit des Jeunes 1 rue St Genois ,59800,LILLE,,50.6371834,3.0630174,
Conseil de Prud'hommes d'Epinal,"Rue Général Haxo ""La Magdeleine""  ",88025,EPINAL CEDEX,+33 3 29 82 14 06,48.173567,6.463908,
Conseil de Prud'hommes d'Evry,1 Rue de la Patinoire  ,91011,EVRY CEDEX,+33 1 69 47 36 26,48.6298146,2.4297779,
Conseil de Prud'hommes de Belfort,1 Rue de Morimont B.P. 776 ,90020,BELFORT CEDEX,+33 3 84 21 04 15,47.6388323,6.8622207,
Maison de Justice et du Droit de Roubaix,Maison des services 71 Avenue de Verdun ,59100,Roubaix,+33 3 20 99 10 05,50.685023,3.200716,
Permanence d’information et d’orientation juridiques de Ronchin,Mairie Hôtel de Ville 650 avenue Jean Jaurès,59790,RONCHIN,,50.6058752,3.0774288,
Conseil de Prud'hommes de Saint-Dié-des-Vosges,16 Rue de la Meurthe  ,88100,ST DIE DES VOSGES,+33 3 29 55 03 03,48.282928,6.9465989,
Antenne de justice du Quesnoy,Château Marguerite de Bougogne Centre Cernay ,59530,LE QUESNOY,+33 3 27 36 99 00,50.253239,3.625475,
Point d'accès au droit de Beauvais,Espace Morvan - Point d'accès au droit - Quartier prioritaire Argentine Rue du Morvan ,60000,BEAUVAIS,+33 800 44 59 60,49.438498,2.097543,
Conseil départemental d'accès au droit de l'Oise,20 boulevard St Jean  ,60021,BEAUVAIS CEDEX,+33 3 44 79 60 60,49.429088,2.075929,
Point d'accès au droit de Wattrelos,29 rue Carnot  ,59150,WATTRELOS,+33 3 20 75 75 74,50.7002778,3.2131998,
Permanence d’information et d’orientation juridiques de Valenciennes,Maison de l'avocat 21/23 rue Capron ,59300,VALENCIENNES,+33 3 27 42 71 44,50.3571535,3.5202212,
Maison de Justice et du Droit de Tourcoing,127 Rue Nationale  ,59200,Tourcoing,+33 3 20 28 49 27,50.724857,3.150544,
Maison de Justice et du Droit de Noyon,Place Bertrand Labarre  ,60400,Noyon,+33 3 44 44 28 67,49.580662,2.999855,
Conseil de Prud'hommes de Bobigny,1-13 rue Michel de l'Hospital  ,93008,BOBIGNY CEDEX,+33 1 48 96 22 22,48.9064281,2.4404611,
Maison de Justice et du Droit de Méru / Vexin-Thelles-Sablons,Angle rues du Docteur Graillon et Louis Bloquet  ,60110,Méru,+33 3 44 52 33 90,49.247979,2.132592,
Maison de Justice et du Droit de Creil,26 Rue Voltaire  ,60100,Creil,+33 3 44 64 46 70,49.2652,2.479629,
Conseil de Prud'hommes de Niort,6 Rue de la Préfecture  ,79000,NIORT,+33 5 49 24 06 01,46.325277,-0.4659677,
Maison de Justice et du Droit de Woippy,17 Place Perrin  ,57140,Woippy,+33 3 87 18 50 67,49.145358,6.164384,
Permanence d’information et d’orientation juridiques de Thionville,Ordre du Barreau de Thionville Quai Marchal ,57100,THIONVILLE,+33 3 82 53 22 75,49.3571422,6.1685672,
Permanence d’information et d’orientation juridiques de Metz,Tribunal de grande instance 3 rue Haute Pierre ,57000,METZ,+33 3 87 76 16 00,49.1170501,6.170733,
Maison de Justice et du Droit de Forbach,8 Avenue de l'Europe  ,57600,Forbach,+33 3 87 88 66 66,49.175836,6.886961,
Conseil départemental d'accés au droit de la Nièvre,rue Abbé Boutillier  ,58019,NEVERS CEDEX,+33 3 86 93 44 44,46.986798,3.156989,
Conseil de Prud'hommes de Thouars,2 Rue Jules Ferry B.P. 127 ,79103,THOUARS CEDEX,+33 5 49 66 26 09,46.975736,-0.217446,
Conseil de Prud'hommes de Castres,17 Rue de la Tolosane  ,81100,CASTRES,+33 5 63 59 30 18,43.6052911,2.2378308,
Conseil de Prud'hommes d'Albi,Palais de Justice B.P. 156 ,81005,ALBI CEDEX,+33 5 63 54 74 54,43.918904,2.140506,
Conseil de Prud'hommes de Péronne,57 rue Saint-Fursy BP 39 ,80200,PERONNE,+33 3 22 84 78 64,49.926836,2.931625,
Point d'accès au droit de Fourchambault,Centre social Avenue Jean Jaurès ,58600,FOURCHAMBAULT,+33 3 86 90 90 00,47.0188007,3.0851531,
Point d'accès au droit de Decize,Mairie 32 rue de la République ,58300,DECIZE,+33 3 86 77 19 20,46.8285105,3.4612445,
Point d'accès au droit de Cosne-Cours-sur-Loire,Maison de quartier Saint Laurent 15 rue de Berry ,58200,COSNE COURS SUR LOIRE,+33 3 86 26 50 00,47.4113626,2.9252906,
Tribunal Administratif de Nouvelle Calédonie,85 Av. du Gal de Gaulle BP 202 ,98800,NOUMEA,+687 25 06 30,-22.2758333,166.4580556,
Tribunal Administratif de Papeete,BP 4522  ,98713,PAPEETE CEDEX,+689 42 24 82,-17.535021,-149.569595,
Permanence d’information et d’orientation juridiques de Nay,Centre multiservices 8 cours Pasteur ,64800,NAY,+33 5 59 13 02 70,43.1801416,-0.2580434,
Point d'accès au droit de Céret,Mairie Hôtel de Ville 6 boulevard Maréchal Joffre,66403,CERET CEDEX,+33 4 68 87 00 00,42.4858535,2.747808,
Conseil Départemental d'Accès au Droit des Pyrénées Orientales,Tribunal de Grande Instance Place Arago B.P. 921,66921,Perpignan,+33 4 68 51 96 29,42.6982718,2.8924296,
Permanence d’information et d’orientation juridiques de Salies-De-Béarn,Mairie Place Bayaa ,64270,SALIES DE BEARN,,43.4726329,-0.9254294,
Permanence d’information et d’orientation juridiques de Saint-Palais,Mairie Place Charles De Gaulle ,64120,ST PALAIS,,43.3272484,-1.0326151,
Permanence d’information et d’orientation juridiques de Saint-Jean-Pied-de-Port,Mairie 18 Chemin Ugange ,64220,ST JEAN PIED DE PORT,,43.1672546,-1.2423847,
Permanence d’information et d’orientation juridiques de Saint-Jean-De-Luz,Mairie Place Louis XIV ,64502,ST JEAN DE LUZ CEDEX,,43.3876469,-1.6641122,
Permanence d’information et d’orientation juridiques d'Orthez,Mairie Salle Jean Ladebat 11 rue Saint Gilles,64300,ORTHEZ,,43.486415,-0.7684785,
Cour d'Appel de Colmar,9 Avenue Raymond Poincaré B.P. 549 ,68027,COLMAR CEDEX,+33 3 89 20 89 00,48.070827,7.351525,
Point d'accès au droit de Prades,Maison Sociale du Département 32 avenue Pasteur ,66500,PRADES,+33 4 68 05 41 01,42.6178409,2.42071,
Point d'accès au droit de Perpignan,Centre Social - Annexe Mairie quartier Vernet Salanque  ,66000,PERPIGNAN,+33 4 68 66 34 56,42.700833,2.901666,
Cour d'Appel de Lyon,1 rue du Palais de Justice  ,69321,LYON CEDEX 05,+33 4 72 77 30 30,45.76231,4.828229,
Tribunal de Commerce de Marseille,2 Rue Emile Pollak  ,13291,MARSEILLE CEDEX 06,+33 4 91 33 28 42,43.2906986,5.3746566,
Maison de Justice et du Droit de Cronenbourg,"1 Rue d'Alembert Quartier ""R.A.N."" ",67200,Strasbourg,+33 3 90 20 64 14,48.604759,7.715935,
Conseil Départemental d'Accès au Droit de l'Ain,34 cours de Verdun  ,1000,BOURG-EN-BRESSE,+33 4 74 14 01 43,46.2065,5.227548,
Point d'accès au droit de Lauterbourg,21 rue de la 1ère armée  ,67630,LAUTERBOURG,+33 3 88 94 80 18,48.9749407,8.1711239,
