intitule,adresse,codepostal,ville,telephone,latitude,longitude,
Tribunal pour Enfants de Caen,Rue Saint-Manvieu  ,14000,CAEN,+33 2 31 86 39 32,49.1829083,-0.3711223,
Tribunal pour Enfants d'Angoulême,Place Francis Louvel B.P. 214 ,16007,ANGOULEME,+33 5 45 37 11 47,45.649207,0.15429,
Tribunal pour Enfants d'Aurillac,21 Place du Square  ,15012,AURILLAC CEDEX,+33 4 71 45 59 59,44.927738,2.443886,
Tribunal pour Enfants de Dijon,Cité Judiciaire 13 Boulevard Clémenceau  BP 1513 ,21033,DIJON CEDEX,+33 3 80 70 45 00,47.327213,5.0439875,
Tribunal pour Enfants d'Ajaccio,4 boulevard Masseria BP 47 ,20181,AJACCIO CEDEX 1,+33 4 95 23 77 72,41.925605,8.736978,
Tribunal pour Enfants de Niort,2 Rue du Palais B.P. 8819 ,79028,NIORT CEDEX,+33 5 49 77 22 50,46.323334,-0.466306,
Tribunal pour Enfants de Versailles,3 Avenue de l'Europe B.P. 1122 ,78011,VERSAILLES CEDEX,+33 1 39 07 39 07,48.8034136,2.1304448,
Tribunal pour Enfants de Carpentras,Impasse du Siècle 41 Place du Général de Gaulle ,84200,CARPENTRAS,+33 4 90 36 23 31,44.0520769,5.0476928,
Tribunal pour Enfants d'Avignon,Palais de Justice 2 Boulevard Limbert ,84078,AVIGNON CEDEX 9,+33 4 32 74 75 06,43.944784,4.816066,
Tribunal pour Enfants de Chalon-sur-Saône,Rue Emiland-Menand  ,71331,CHALON SUR SAONE,+33 3 85 93 77 00,46.7846259,4.8536094,
Tribunal pour Enfants de Vesoul,Place du Palais B.P. 387 ,70014,VESOUL CEDEX,+33 3 84 78 58 00,47.623709,6.157897,
Tribunal pour Enfants de Meaux,Avenue Salvador Allendé B.P. 230 ,77108,MEAUX,+33 1 60 09 75 00,48.9555641,2.890683,
Tribunal pour Enfants de Rouen,Annexe du Palais de Justice 31/33 Rue aux Juifs ,76037,ROUEN CEDEX,+33 2 35 52 87 52,49.4420271,1.0923649,
Tribunal pour Enfants de Laon,Place Aubry  ,2011,LAON CEDEX,+33 3 23 26 29 15,49.564965,3.625177,
Tribunal pour Enfants de Marseille,6 Rue Joseph Autran  ,13281,MARSEILLE,+33 4 91 15 50 50,43.2907289,5.3740786,
Tribunal pour Enfants de Tarascon,quartier Kilmaine  ,13150,TARASCON,+33 4 90 91 49 00,43.8036778245,4.66305549339,
Tribunal pour Enfants d'Aix-en-Provence,40 Boulevard Carnot  ,13100,AIX EN PROVENCE,+33 4 42 33 83 00,43.5274683,5.4554748,
Tribunal pour Enfants de Rodez,Boulevard de Guizard BP 3123 ,12031,RODEZ,+33 5 65 73 43 00,44.3489355,2.5727445,
Tribunal pour Enfants de Carcassonne,28 Boulevard Jean-Jaurès B.P. 818 ,11012,CARCASSONNE,+33 4 68 25 75 45,43.214867,2.354691,
Tribunal pour Enfants de Troyes,83 Rue du Général de Gaulle  ,10026,TROYES,+33 3 25 43 55 70,48.297202,4.069243,
Tribunal pour Enfants de Guéret,23 Place Bonnyaud  ,23000,GUERET,+33 5 55 51 93 59,46.1690274,1.870893,
Tribunal pour Enfants de Brive-la-Gaillarde,Palais de Justice Boulevard du Maréchal Lyautey ,19312,BRIVE LA GAILLARDE,+33 5 55 74 27 32,45.1567616,1.5325855,
Tribunal pour Enfants de Bourges,8 Rue des Arènes  ,18023,BOURGES,+33 2 48 68 34 34,47.0849533,2.3929755,
Tribunal pour Enfants de La Rochelle,14 Rue du Palais  ,17000,LA ROCHELLE,+33 5 46 50 58 31,46.1596168,-1.1537631,
Tribunal pour Enfants de Bordeaux,Rue des Frères Bonie  ,33077,BORDEAUX CEDEX,+33 5 56 01 34 00,44.836788,-0.5799446,
Tribunal pour Enfants de Montbéliard,Cité Judiciaire Rue Mozart ,25209,MONTBELIARD CEDEX,+33 3 81 90 70 00,47.5118726,6.7997133,
Tribunal pour Enfants de Besançon,1 Rue Mégevand B.P. 459 ,25019,BESANCON,+33 3 81 61 60 00,47.236418,6.022855,
Tribunal pour Enfants de Périgueux,19 Bis Cours Montaigne  ,24019,PERIGUEUX CEDEX,+33 5 53 02 77 00,45.1855341,0.720621,
Tribunal pour Enfants de Bergerac,Place de la République  ,24112,BERGERAC,+33 5 53 74 40 00,44.8533557,0.4830045,
Tribunal pour Enfants d'Auxerre,Place du Palais de Justice B.P. 39 ,89010,AUXERRE CEDEX,+33 3 86 72 30 10,47.798136,3.567723,
Tribunal pour Enfants de Bobigny,173 Av. P. Vaillant Couturier  ,93008,BOBIGNY CEDEX,+33 1 48 95 13 93,48.9090756,2.4497642,
Tribunal pour Enfants de Saint-Pierre,28 Rue Augustin Archambaud B.P. 338 ,97448,ST PIERRE CEDEX,+33 2 62 96 10 00,-21.3277429,55.4824541,
Tribunal pour Enfants de Papeete,42 Avenue Bruat B.P. 4633 ,98714,PAPEETE,+689 41 55 00,-17.5430158023,-149.570898554,
Tribunal pour Enfants de Villefranche-sur-Saône,Palais de Justice 350 Boulevard Gambetta  B.P. 474 ,69665,VILLEFRANCHE SUR SAONE,+33 4 74 65 63 63,45.9898649,4.7187518,
Tribunal pour Enfants de Laval,13 Place Saint Tugal BP 81515 ,53015,LAVAL,+33 2 43 53 51 11,48.0693098,-0.7735482,
Tribunal pour Enfants de Narbonne,40 Bd du Général de Gaulle B.P. 810 ,11108,NARBONNE CEDEX,+33 4 68 32 71 55,43.1842152,3.0088775,
