intitule,adresse,codepostal,ville,telephone,latitude,longitude,
Tribunal d'Instance de Toulon,140 Bd Général Leclerc B.P. 507,83041,TOULON CEDEX 9,+33 4 94 18 93 12,43.125717,5.928309,
Tribunal d'Instance d'Albi,Place du Palais B.P. 156,81005,ALBI,+33 5 63 54 15 12,43.9266871,2.1459039,
Tribunal d'Instance de Castres,4 Rue du Palais B.P. 409,81108,CASTRES,+33 5 63 51 93 00,43.605796,2.23817,
Tribunal d'Instance de Bressuire,1 bis boulevard Joffre ,79300,BRESSUIRE,+33 5 49 65 87 32,46.83937,-0.4890378,
Tribunal d'Instance de Niort,18 Rue Marcel Paul-Espace Thémis B.P. 8820,79028,NIORT CEDEX,+33 5 49 05 45 40,46.324538,-0.470879,
Tribunal d'Instance de Paris 19ème,Immeuble Le Brabant 11 rue Cambrai,75019,PARIS,+33 1 53 38 80 60,48.895903,2.381425,
Tribunal d'Instance de Paris 20ème,Mairie 6 Place Gambetta,75020,PARIS,+33 1 47 97 19 52,48.884589,2.340359,
Tribunal d'Instance de Paris 17ème,Mairie 16/18 rue des Batignolles,75017,PARIS,+33 1 45 22 74 97,48.884589,2.340359,
Tribunal d'Instance de Paris 18ème,Mairie 1 Place Jules Joffrin,75018,PARIS,+33 1 49 25 83 25,48.884589,2.340359,
Tribunal d'Instance de Paris 15ème,154 rue Lecourbe ,75015,PARIS,+33 1 53 68 77 80,48.841564,2.299121,
Tribunal d'Instance de Paris 16ème,Mairie 71 Avenue Henri Martin,75016,PARIS,+33 1 45 04 44 82,48.884589,2.340359,
Tribunal d'Instance de Paris 13ème,Mairie 3 Rue Philippe de Champagne,75013,PARIS,+33 1 44 08 79 00,48.884589,2.340359,
Tribunal d'Instance de Paris 14ème,Mairie 26 Rue Mouton Duvernet,75675,PARIS,+33 1 45 39 43 53,48.884589,2.340359,
Tribunal d'Instance de Paris 11ème,91 rue Oberkampf ,75011,PARIS,+33 1 43 57 81 45,48.8652726,2.3756662,
Tribunal d'Instance de Paris 12ème,Mairie 130 Avenue Daumesnil,75012,PARIS,+33 1 43 43 14 56,48.884589,2.340359,
Tribunal d'Instance de Paris 9ème,Mairie 9 Bis Rue Drouot,75009,PARIS,+33 1 45 23 33 92,48.884589,2.340359,
Tribunal d'Instance de Paris 10ème,Mairie 52 Rue du Château d'Eau,75010,PARIS,+33 1 40 40 40 70,48.884589,2.340359,
Tribunal d'Instance de Paris 7ème,Mairie 116 Rue de Grenelle,75007,PARIS,+33 1 45 51 86 37,48.884589,2.340359,
Tribunal d'Instance de Paris 8ème,Mairie 3 Rue de Lisbonne,75008,PARIS,+33 1 45 22 10 22,48.884589,2.340359,
Tribunal d'Instance de Paris 5ème,Mairie 21 Place du Panthéon,75231,PARIS,+33 1 43 26 54 43,48.884589,2.340359,
Tribunal d'Instance de Paris 6ème,Mairie 78 Rue Bonaparte,75006,PARIS,+33 1 46 34 21 00,48.884589,2.340359,
Tribunal d'Instance de Paris 2ème,Mairie 8 Rue de la Banque,75002,PARIS,+33 1 44 55 35 95,48.884589,2.340359,
Tribunal d'Instance de Paris 3ème,Mairie 2 Rue Eugène Spuller,75003,PARIS,+33 1 53 01 90 50,48.884589,2.340359,
