intitule,adresse,codepostal,ville,telephone,latitude,longitude
LA ROCHELLE,14 RUE DU PALAIS Hotel de La Bourse,17001,LA ROCHELLE CEDEX 1,546413465,46.159636, -1.153709
MARSEILLE,2 RUE EMILE POLLAK,13291,MARSEILLE CEDEX 06,491547040,43.291342, 5.374374
MANOSQUE,RUE DES TANNEURS,4100,MANOSQUE,492877426,43.830893, 5.785401
VALENCIENNES,3 PL DU COMMERCE,59300,VALENCIENNES,327463478,50.357113, 3.518332
TOURS,12 RUE BERTHELOT,37041,TOURS CEDEX,247312001,47.395121, 0.688083
VANNES,19 RUE DES TRIBUNAUX,56019,VANNES CEDEX,297472289,47.658236, -2.760847
TARBES,SQ MAURICE TRELUT,65013,TARBES CEDEX 9,562517777,43.221049, 0.074533
SENS,1 RUE DU PALAIS DE JUSTICE,89100,SENS,386652353,48.196331, 3.276994
LORIENT,3 RUE BENJAMIN DELESSERT,56104,LORIENT CEDEX 04,297210153,47.746653, -3.367889
SAINT-BRIEUC,17 RUE PARMENTIER,22021,ST BRIEUC CEDEX 1,296336892,48.5088083, -2.751733
CLERMONT-FERRAND,40 RUE DE L'ANGE,63000,CLERMONT FERRAND,473160160,45.779788, 3.079895
CAHORS,BD GAMBETTA,46010,CAHORS CEDEX 9,565352434,44.448656, 1.440078
CRETEIL,IMMEUBLE LE PASCAL,94049,CRETEIL CEDEX,143991007,48.780932, 2.458556
BRIEY,4 RUE DU MARECHAL FOCH,54153,BRIEY CEDEX,382461504,49.248997, 5.939666
CANNES,19 BD CARNOT,6414,CANNES CEDEX,483142100,43.556456, 7.016884
CHALONS-EN-CHAMPAGNE,,51008,CHALONS EN CHAMPAGNE CEDEX,326684860,48.959158, 4.362881
DIJON,13 BD CLEMENCEAU,21072,DIJON CEDEX,380704551,47.327705, 5.048132
EPINAL,1 PL FOCH,88000,EPINAL,329343376,48.173094, 6.448138
DAX,55 AV VICTOR HUGO,40100,DAX,558900684,43.703894, -1.052756
CARCASSONNE,34 RUE DE STRASBOURG,11000,CARCASSONNE,468112730,43.212161, 2.353663
BOULOGNE-SUR-MER,16 rue de la Barrière Saint-Michel,62200,BOULOGNE SUR MER,321874767,50.7262795, 1.6095371
AJACCIO,AV MARECHAL LYAUTEY,20700,AJACCIO CEDEX 9,495231782,41.937945, 8.744795
AMIENS,18 RUE LAMARTINE,80002,AMIENS CEDEX 1,322914323,49.891918, 2.304865
ALBI,PLACE DU PALAIS,81005,ALBI CEDEX,563540083,43.92632, 2.145789
AUXERRE,90 RUE DE PARIS,89010,AUXERRE CEDEX,386722100,47.798389, 3.569212
BEZIERS,93 AV PRESIDENT WILSON CITE JUDICIAIRE,34500,BEZIERS,467282905,43.336564, 3.227513
BAR-LE-DUC,5 RUE FRANCOIS DE GUISE,55014,BAR LE DUC,329790939,48.77087, 5.157652
CHATEAUROUX,11 RUE PAUL LOUIS COURIER,36020,CHATEAUROUX CEDEX,254340626,46.811434, 1.686779
ANNECY,19 AV DU PARMELAN,74007,ANNECY CEDEX,450050545,45.905524, 6.131979
CHERBOURG,22 RUE DE L'ANCIEN QUAI,50120,CHERBOURG CEDEX,233932460,49.639093, -1.625298
COMPIEGNE,2 RUE DAHOMEY,60200,COMPIEGNE,344385151,49.417419, 2.828684
ARRAS,13 RUE ROGER SALENGRO,62008,ARRAS,321242525,50.293843, 2.768651
FOIX,14 BD DU SUD,9004,FOIX CEDEX,561024280,42.966559, 1.606461
MELUN,2 AV DU GENERAL LECLERC,77000,MELUN,164798400,48.526354, 2.652909
EVRY,1 RUE DE LA PATINOIRE,91011,EVRY CEDEX,169473650,48.629441, 2.430564
NARBONNE,40 BD DU GENERAL DE GAULLE,11108,NARBONNE CEDEX,468320176,43.184558, 3.008623
LISIEUX,49 RUE DE PARIS,14104,LISIEUX CEDEX,231485550,49.147159, 0.233374
NEVERS,19 RUE SAINT MARTIN,58020,NEVERS CEDEX,386610671,46.989284, 3.159594
MEAUX,56 RUE ARISTIDE BRIAND,77100,MEAUX,891011111,48.956157, 2.889576
NIORT,18 RUE MARCEL PAUL,79028,NIORT CEDEX 9,549791440,46.32488, -0.456029
DOUAI,66 RUE ST JULIEN,59500,DOUAI CEDEX,327961743,50.371012, 3.076526
FREJUS,272 BD JEAN-JAURES,83600,FREJUS,494536168,43.433152, 6.737034
RENNES,7 RUE PIERRE ABELARD,35031,RENNES CEDEX,299653888,48.105325, -1.686294
SEDAN,1 RUE DE LA COMEDIE,8202,SEDAN CEDEX,324575053,49.702509, 4.943773
THONON-LES-BAINS,10 RUE DE L'HOTEL-DIEU,74200,THONON LES BAINS,450721320,46.369037, 6.478758
SAINT-NAZAIRE,,44606,ST NAZAIRE,240225232,47.279273, -2.215247
TARASCON,28 Allée du Général Jennings de Kilmaine,13150,TARASCON,490914200,43.802051, 4.662323
ROMANS,2-4 RUE SABATON,26105,ROMANS CEDEX,475711848,45.042658, 5.051441
CHAUMONT,6 RUE RAYMOND SAVIGNAC BATIMENT DE L'HORLOGE,52000,CHAUMONT,325038037,48.096225, 5.14334
CAEN,PL GAMBETTA PALAIS DE JUSTICE,14037,CAEN CEDEX,231854000,49.179305, -0.366111
BOURGES,1 PL HENRI MIRPIED,18000,BOURGES,248700733,47.086262, 2.392906
CHALON-SUR-SAONE,4 RUE Emiland Menand,71100,CHALON SUR SAONE,385900780,46.7848208, 4.8534565
COUTANCES,67 RUE SAINT NICOLAS,50208,COUTANCES CEDEX,233194211,49.051145, -1.443533
BERGERAC,6 RUE DES CARMES,24100,BERGERAC,553635800,44.853625, 0.486993
CUSSET,RUE DU BIEF,3306,CUSSET CEDEX,470983913,46.135583, 3.450061
AUBENAS,RUE GEORGE COUDERC - MAIRIE ANNEXE GREFFE DU TRIBUNAL DE COMMERCE,7200,AUBENAS,475892180,44.614323, 4.389807
BASTIA,PALAIS DE JUSTICE,20297,BASTIA CEDEX,495348470,42.6957, 9.446483
BESANCON,1 RUE MEGEVAND,25000,BESANCON,891011111,47.236615, 6.022439
SAINT MALO,1 RUE DE LA CROIX DESILLES PARC D'AFFAIRES CAP SUD,35400,ST MALO,299200090,48.6522059, -1.9720288
ROANNE,5 Bis PL GEORGES CLEMENCEAU PALAIS DE JUSTICE,42333,ROANNE CEDEX,477720622,46.040159, 4.072934
SAINT-ETIENNE,36 RUE DE LA RESISTANCE,42006,ST ETIENNE CEDEX 1,477439797,45.43749, 4.386367
TOULON,140 BD MARECHAL LECLERC PALAIS LECLERC,83041,TOULON CEDEX 09,891011111,43.125717, 5.928175
VERSAILLES,1 PL ANDRE MIGNOT,78011,VERSAILLES CEDEX,139071640,48.802383, 2.131433
SOISSONS,76 RUE ST MARTIN,2209,SOISSONS CEDEX,323530482,49.380396, 3.328149
VESOUL,20 RUE DIDON,70007,VESOUL CEDEX,384758270,47.615269, 6.149404
PAU,3 RUE DUPLAA,64000,PAU,559986060,43.299377, -0.37257
VIENNE,27/31 RUE DE BOURGOGNE PALAIS DE JUSTICE,38217,VIENNE CEDEX,428380560,45.526419, 4.873227
DUNKERQUE,,59376,DUNKERQUE CEDEX 1,328519283,51.023183, 2.373347
LIBOURNE,36 RUE VICTOR HUGO,33504,LIBOURNE CEDEX,557255805,44.915655, -0.246168
MONT-DE-MARSAN,7 PL FRANCIS PLANTE,40005,MONT DE MARSAN CEDEX,558466070,43.887374, -0.502974
LE PUY-EN-VELAY,4 AV DE LA DENTELLE,43009,LE PUY EN VELAY,471090078,45.04169, 3.88857
NANCY,CITE JUDICIAIRE,54003,NANCY CEDEX,383406960,48.678947, 6.172192
LILLE METROPOLE,445 BD GAMBETTA TOUR MERCURE,59200,TOURCOING,320366545,50.705074, 3.162217
DIEPPE,54 RUE DU FAUBOURG DE LA BARRE,76204,DIEPPE CEDEX,235841187,49.92346, 1.074949
EVREUX,7 RUE DE LA PETITE CITE,27003,EVREUX CEDEX,232223720,49.025347, 1.150485
MONTLUCON,114 BD COURTAIS,3100,MONTLUCON,470050540,46.339906, 2.607697
MACON,5 COU MOREAU,71018,MACON CEDEX,385380485,46.30951, 4.833888
AGEN,6 RUE LOMET,47000,AGEN,553773415,44.20079, 0.618539
ANGERS,19 RUE RENE ROUCHY,49100,ANGERS CEDEX,241878930,47.479273, -0.546961
ANTIBES,NOVA ANTIPOLIS 60,6632,ANTIBES CEDEX,493341014,43.601341, 7.091675
ALENCON,81 RUE DU GUE DE SORRE,61000,ALENCON,233261755,48.419531, 0.10527
BELFORT,1 RUE DE MORIMONT SITE DE L'ESPERANCE,90000,BELFORT,384280557,47.641227, 6.861343
BERNAY,PL GUSTAVE HEON,27305,BERNAY CEDEX,232447827,49.089435, 0.597714
AVIGNON,2 BD LIMBERT,84097,AVIGNON CEDEX 9,820220422,43.944449, 4.816142
ANGOULEME,13 PL DU CHAMPS DE MARS,16000,ANGOULEME,545931249,45.649388, 0.1603
AURILLAC,21 PL DU SQUARE,15006,AURILLAC CEDEX,471481454,44.928934, 2.443192
BEAUVAIS,12 RUE DES TEINTURIERS,60004,BEAUVAIS CEDEX,344067400,49.429077, 2.070944
BLOIS,15 RUE DU PÈRE BROTTIER,41018,BLOIS CEDEX,254780791,47.589805, 1.335783
PONTOISE,3 RUE VICTOR HUGO PALAIS DE JUSTICE,95300,PONTOISE,134254760,49.051595, 2.098839
NANTES,2BIS QU FRANCOIS MITTERRAND IMMEUBLE RHUYS,44262,NANTES CEDEX 2,240410200,47.207325, -1.556185
POITIERS,21 RUE SAINT LOUIS,86036,POITIERS CEDEX,549888193,46.584048, 0.34034
NANTERRE,4 RUE PABLO NERUDA,92020,NANTERRE CEDEX,140971717,48.89547, 2.215666
RODEZ,2 BD PIERRE BENOIT,12000,RODEZ,565735610,44.348857, 2.572373
PERIGUEUX,3 PL YVES GUENA,24009,PERIGUEUX CEDEX,553456000,45.187376, 0.721514
REIMS,55-57 RUE THIERS,51724,REIMS CEDEX,326883066,49.254424, 4.031639
NICE,6 RUE DESIRE NIEL,6009,NICE CEDEX,493928787,43.700489, 7.275971
QUIMPER,23 RUE DU PALAIS,29000,QUIMPER,298554247,47.993749, -4.109842
MONTAUBAN,PL BOURDELLE,82000,MONTAUBAN,563632088,44.0174097, 1.3515356
LA ROCHE-SUR-YON,55 RUE HOCHE,85017,LA ROCHE SUR YON CEDEX,251376705,46.67149, -1.433877
BOBIGNY,1-13 RUE MICHEL DE L'HOSPITAL,93008,BOBIGNY CEDEX,891011111,48.906871, 2.454007
GRASSE,37 AV PIERRE SEMARD,6133,GRASSE,891011111,43.660153, 6.926492
BREST,150 RUE ERNEST HEMINGWAY,29219,BREST CEDEX 2,298433131,48.3853511, -4.478258
GUERET,23 PL BONNYAUD PALAIS DE JUSTICE,23000,GUERET,555411011,46.168946, 1.871077
BORDEAUX,PALAIS DE LA BOURSE,33064,BORDEAUX CEDEX,556018170,44.841888, -0.57071
LE HAVRE,16 RUE DU COLONEL FABIEN,76600,LE HAVRE CEDEX,235421550,49.492689, 0.116816
GAP,,5004,GAP CEDEX,492510192,44.557589, 6.077532
MENDE,BD HENRI BOURRILLON,48000,MENDE,466484141,44.517692, 3.496925
CHARTRES,22 BD CHASLES,28000,CHARTRES,237840025,48.443854, 1.489012
DRAGUIGNAN,11 RUE P CLEMENT PALAIS DE JUSTICE,83006,DRAGUIGNAN CEDEX,494508327,43.537727, 6.464993
LAVAL,12 ALL de la Chartrie,53000,LAVAL,243597080,48.0692537, -0.7962793
CASTRES,3 RUE DE LA PLATE,81100,CASTRES,563625880,43.604503, 2.238529
CHAMBERY,12 BD DE LA COLONNE,73008,CHAMBERY CEDEX,479337225,45.566941, 5.922897
BAYONNE,1 AV ANNE DE NEUBOURG,64100,BAYONNE,559463300,43.493149, -1.484324
LE MANS,1 AV PIERRE MENDES France,72014,LE MANS CEDEX,243141850,48.006951, 0.201434
AUCH,4 PL DU MARECHAL LANNES,32000,AUCH,562050224,43.636681, 0.584292
BRIVE,6 RUE SAINT BERNARD,19312,BRIVE CEDEX,555177676,45.157499, 1.531445
BOURG-EN-BRESSE,32 AV ALSACE LORRAINE,1011,BOURG EN BRESSE CEDEX,474320003,46.201918, 5.220586
GRENOBLE,PLACE FIRMIN GAUTIER,38019,GRENOBLE CEDEX 1,456585050,45.191137, 5.711452
LIMOGES,23 PL WINSTON CHRUCHILL Cité Judiciaire,87000,LIMOGES,555346075,45.829238, 1.255545
SAINTES,PALAIS DE JUSTICE-COURS NATIONAL,17108,SAINTES CEDEX,546930102,45.747701, -0.634815
ORLEANS,44 RUE DE LA BRETONNERIE,45010,ORLEANS CEDEX 1,238780707,47.90476, 1.905693
PERPIGNAN,4 RUE ANDRE BOSCH,66834,PERPIGNAN CEDEX,468342433,42.698684, 2.8958719
ROUEN,3 RUE JACQUES LE LIEUR,76005,ROUEN CEDEX,235700860,49.439152, 1.090522
NIMES,12 RUE CITE FOULC,30000,NIMES,466760351,43.833126, 4.360349
MONTPELLIER,9 RUE DE TARRAGONE,34070,MONTPELLIER,467608088,43.604347, 3.886102
PARIS,1 QU DE LA CORSE,75198,PARIS CEDEX 04,891017575,48.856128, 2.346734
LYON,44 RUE DE BONNEL,69433,LYON CEDEX 03,472606980,45.764043, 4.835659
LONS-LE-SAUNIER,7 PL DE L'ANCIEN COLLEGE,39001,LONS LE SAUNIER CEDEX,384244476,46.671361, 5.550796
SALON-DE-PROVENCE,481 BD DE LA REPUBLIQUE,13657,SALON DE PROVENCE CEDEX,490560356,43.640493, 5.08903
TROYES,134 RUE DU GENERAL DE GAULLE,10003,TROYES,325731508,48.297349, 4.069437
SAINT-QUENTIN,PALAIS DE JUSTICE,2322,ST QUENTIN CEDEX,323623410,49.847897, 3.284365
VILLEFRANCHE-TARARE,350 BD GAMBETTA,69400,VILLEFRANCHE SUR SAONE,474090286,45.993429, 4.71517
TOULOUSE,PL DE LA BOURSE,31068,TOULOUSE CEDEX 7,561110200,43.601853, 1.442252
AIX-EN-PROVENCE,38 COU MIRABEAU HOTEL D'ESPAGNET,13625,AIX EN PROVENCE CEDEX 1,442377614,43.527354, 5.449916
