"ID","Intitulé","Catégories","Nomenclature Dila","Site Web","Adresse","Adresse","Code Insee commune","Code postal","Commune","Téléphone","Fax","Horaires d'ouverture","Latitude","Longitude","Précision","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Organisme","URL","Rue, Voie, Chemin","Fax","Courriel","Téléphone","Territoires de compétence","Catégories","Activités","Activités","Ressort","Organisme tuteur","Mission","Intervenants","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Territoires de compétence","Audiences TGI (hors période de vacation : du 10 juillet au 27 août, vacances de noël et de Pâques)"
"4cac9e87293594648a004ccd","Tribunal de Grande Instance de Meaux","justice-organisme-public","tgi","http://www.justice.gouv.fr/","44 Avenue Salvador Allendé","B.P. 230",77284,77108,"MEAUX CEDEX","+33 1 60 09 75 00","+33 1 60 09 75 20","Du Lundi au Vendredi : de 9h à 12h et de 13h30 à 17h","48.956216","2.888272",8,"{u'kind': u'IntercommunalityOfFrance', u'code': u'247700339'}","{u'kind': u'IntercommunalityOfFrance', u'code': u'247700362'}","{u'kind': u'IntercommunalityOfFrance', u'code': u'247700438'}","{u'kind': u'IntercommunalityOfFrance', u'code': u'247700453'}","{u'kind': u'IntercommunalityOfFrance', u'code': u'247700529'}","{u'kind': u'IntercommunalityOfFrance', u'code': u'247700545'}","{u'kind': u'IntercommunalityOfFrance', u'code': u'247700594'}","{u'kind': u'IntercommunalityOfFrance', u'code': u'247700651'}","{u'kind': u'IntercommunalityOfFrance', u'code': u'247700677'}","{u'kind': u'ArrondissementOfFrance', u'code': u'77-1'}","{u'kind': u'CommuneOfFrance', u'code': u'77005'}","{u'kind': u'CommuneOfFrance', u'code': u'77030'}","{u'kind': u'CommuneOfFrance', u'code': u'77043'}","{u'kind': u'CommuneOfFrance', u'code': u'77058'}","{u'kind': u'CommuneOfFrance', u'code': u'77091'}","{u'kind': u'CommuneOfFrance', u'code': u'77093'}","{u'kind': u'CommuneOfFrance', u'code': u'77097'}","{u'kind': u'CommuneOfFrance', u'code': u'77116'}","{u'kind': u'CommuneOfFrance', u'code': u'77118'}","{u'kind': u'CommuneOfFrance', u'code': u'77144'}","{u'kind': u'CommuneOfFrance', u'code': u'77162'}","{u'kind': u'CommuneOfFrance', u'code': u'77181'}","{u'kind': u'CommuneOfFrance', u'code': u'77182'}","{u'kind': u'CommuneOfFrance', u'code': u'77192'}","{u'kind': u'CommuneOfFrance', u'code': u'77224'}","{u'kind': u'CommuneOfFrance', u'code': u'77228'}","{u'kind': u'CommuneOfFrance', u'code': u'77229'}","{u'kind': u'CommuneOfFrance', u'code': u'77234'}","{u'kind': u'CommuneOfFrance', u'code': u'77240'}","{u'kind': u'CommuneOfFrance', u'code': u'77247'}","{u'kind': u'CommuneOfFrance', u'code': u'77250'}","{u'kind': u'CommuneOfFrance', u'code': u'77277'}","{u'kind': u'CommuneOfFrance', u'code': u'77287'}","{u'kind': u'CommuneOfFrance', u'code': u'77303'}","{u'kind': u'CommuneOfFrance', u'code': u'77304'}","{u'kind': u'CommuneOfFrance', u'code': u'77307'}","{u'kind': u'CommuneOfFrance', u'code': u'77314'}","{u'kind': u'CommuneOfFrance', u'code': u'77318'}","{u'kind': u'CommuneOfFrance', u'code': u'77336'}","{u'kind': u'CommuneOfFrance', u'code': u'77345'}","{u'kind': u'CommuneOfFrance', u'code': u'77360'}","{u'kind': u'CommuneOfFrance', u'code': u'77363'}","{u'kind': u'CommuneOfFrance', u'code': u'77385'}","{u'kind': u'CommuneOfFrance', u'code': u'77398'}","{u'kind': u'CommuneOfFrance', u'code': u'77402'}","{u'kind': u'CommuneOfFrance', u'code': u'77405'}","{u'kind': u'CommuneOfFrance', u'code': u'77406'}","{u'kind': u'CommuneOfFrance', u'code': u'77411'}","{u'kind': u'CommuneOfFrance', u'code': u'77417'}","{u'kind': u'CommuneOfFrance', u'code': u'77421'}","{u'kind': u'CommuneOfFrance', u'code': u'77423'}","{u'kind': u'CommuneOfFrance', u'code': u'77429'}","{u'kind': u'CommuneOfFrance', u'code': u'77432'}","{u'kind': u'CommuneOfFrance', u'code': u'77436'}","{u'kind': u'CommuneOfFrance', u'code': u'77472'}","{u'kind': u'CommuneOfFrance', u'code': u'77486'}","{u'kind': u'CommuneOfFrance', u'code': u'77492'}","{u'kind': u'CommuneOfFrance', u'code': u'77508'}","{u'kind': u'CommuneOfFrance', u'code': u'77510'}","{u'kind': u'CommuneOfFrance', u'code': u'77512'}","{u'kind': u'CommuneOfFrance', u'code': u'77514'}","{u'kind': u'CommuneOfFrance', u'code': u'77517'}","Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/ile-de-france/seine-et-marne/tgi-77284-01.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4cac9e87293594648a004ccc","Tribunal de Grande Instance du Mans","justice-organisme-public","tgi","http://www.justice.gouv.fr/","Cité Judiciaire","1 Avenue Pierre Mendès-France",72181,72014,"LE MANS CEDEX 2","+33 2 43 83 77 00","+33 2 43 83 78 79","Du Lundi au Vendredi : de 9h à 12h et de 13h30 à 16h30","48.0064699","0.1997661",6,"{u'kind': u'ArrondissementOfFrance', u'code': u'72-1'}","{u'kind': u'ArrondissementOfFrance', u'code': u'72-2'}","{u'kind': u'ArrondissementOfFrance', u'code': u'72-3'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/pays-de-la-loire/sarthe/tgi-72181-01.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4cac9e87293594648a004ccf","Tribunal de Grande Instance de Draguignan","justice-organisme-public","tgi","http://www.justice.gouv.fr/","Palais de Justice","11 Rue Pierre Clément   B.P. 273",83050,83007,"DRAGUIGNAN CEDEX","+33 4 94 60 57 00","+33 4 94 47 01 92","Du Lundi au Vendredi : de 8h à 12h et de 13h30 à 17h","43.537228","6.447793",4,"{u'kind': u'ArrondissementOfFrance', u'code': u'83-1'}","{u'kind': u'ArrondissementOfFrance', u'code': u'83-3'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/provence-alpes-cote-d-azur/var/tgi-83050-01.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4cac9e87293594648a004cce","Tribunal de Grande Instance de Versailles","justice-organisme-public","tgi","http://www.justice.gouv.fr/",,,78646,78011,"VERSAILLES CEDEX","+33 1 39 07 39 07","+33 1 39 07 35 57","Du Lundi au Vendredi : de 8h30 à 12h30 et de 13h à 17h","48.803612","2.130523",6,"{u'kind': u'ArrondissementOfFrance', u'code': u'78-1'}","{u'kind': u'ArrondissementOfFrance', u'code': u'78-2'}","{u'kind': u'ArrondissementOfFrance', u'code': u'78-3'}","{u'kind': u'ArrondissementOfFrance', u'code': u'78-4'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/ile-de-france/yvelines/tgi-78646-01.html","3 Avenue de l'Europe","+33 1 39 07 35 59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4cac9e87293594648a004cc9","Tribunal de Grande Instance de Blois","justice-organisme-public","tgi","http://www.justice.gouv.fr/",,,41018,41018,"BLOIS CEDEX","+33 2 54 44 60 99","+33 2 54 74 11 40","Du Lundi au Vendredi : de 8h30 à 12h et de 13h30 à 17h","47.589372","1.3338",6,"{u'kind': u'ArrondissementOfFrance', u'code': u'41-1'}","{u'kind': u'ArrondissementOfFrance', u'code': u'41-2'}","{u'kind': u'ArrondissementOfFrance', u'code': u'41-3'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/centre/loir-et-cher/tgi-41018-01.html","Place de la République",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4cac9e87293594648a004cc8","Tribunal de Grande Instance de Vienne","justice-organisme-public","tgi","http://www.justice.gouv.fr/",,,38544,38209,"VIENNE CEDEX","+33 4 74 78 81 81","+33 4 74 78 81 69","Du Lundi au Vendredi : de 9h à 12h et de 14h à 16h30","45.525884","4.8739588",8,"{u'kind': u'IntercommunalityOfFrance', u'code': u'243801255'}","{u'kind': u'ArrondissementOfFrance', u'code': u'38-3'}","{u'kind': u'CommuneOfFrance', u'code': u'38102'}","{u'kind': u'CommuneOfFrance', u'code': u'38172'}","{u'kind': u'CommuneOfFrance', u'code': u'38193'}","{u'kind': u'CommuneOfFrance', u'code': u'38449'}","{u'kind': u'CommuneOfFrance', u'code': u'38475'}","{u'kind': u'CommuneOfFrance', u'code': u'38530'}","{u'kind': u'CommuneOfFrance', u'code': u'38537'}","{u'kind': u'CommuneOfFrance', u'code': u'38553'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/rhone-alpes/isere/tgi-38544-01.html","16 Place Charles de Gaulle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4cac9e87293594648a004ccb","Tribunal de Grande Instance de Nevers","justice-organisme-public","tgi","http://www.justice.gouv.fr/","Place du Palais","B.P. 6",58194,58019,"NEVERS CEDEX","+33 3 86 93 44 44","+33 3 86 36 83 09","Du Lundi au Vendredi : de 8h30 à 12h et de 13h30 à 17h","46.986588","3.157571",6,"{u'kind': u'ArrondissementOfFrance', u'code': u'58-1'}","{u'kind': u'ArrondissementOfFrance', u'code': u'58-2'}","{u'kind': u'ArrondissementOfFrance', u'code': u'58-3'}","{u'kind': u'ArrondissementOfFrance', u'code': u'58-4'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/bourgogne/nievre/tgi-58194-01.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4cac9e87293594648a004cca","Tribunal de Grande Instance de Metz","justice-organisme-public","tgi","http://www.justice.gouv.fr/","3 Rue Haute Pierre","B.P. 81022",57463,57036,"METZ CEDEX 01","+33 3 87 56 75 00","+33 3 87 56 75 15","Du Lundi au Vendredi : de 8h30 à 11h45 et de 13h30 à 16h30","49.116779","6.171264",8,"{u'kind': u'ArrondissementOfFrance', u'code': u'57-1'}","{u'kind': u'ArrondissementOfFrance', u'code': u'57-2'}","{u'kind': u'ArrondissementOfFrance', u'code': u'57-4'}","{u'kind': u'ArrondissementOfFrance', u'code': u'57-5'}","{u'kind': u'ArrondissementOfFrance', u'code': u'57-9'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/lorraine/moselle/tgi-57463-01.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4cac9e87293594648a004cc4","Tribunal de Grande Instance d'Ajaccio","justice-organisme-public","tgi","http://www.justice.gouv.fr/","4 boulevard Masseria","BP 47","2A004",20181,"AJACCIO CEDEX 1","+33 4 95 29 06 06","+33 4 95 29 06 05",,"41.925605","8.736978",8,"{u'kind': u'ArrondissementOfFrance', u'code': u'2A-1'}","{u'kind': u'ArrondissementOfFrance', u'code': u'2A-4'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/corse/corse-du-sud/tgi-2A004-01.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4cac9e87293594648a004cc7","Tribunal de Grande Instance de Tours","justice-organisme-public","tgi","http://www.justice.gouv.fr/",,,37261,37928,"TOURS CEDEX 9","+33 2 47 60 26 60","+33 2 47 60 26 61","Du Lundi au Vendredi : de 9h à 12h et de 14h à 17h","47.3900896","0.6897644",8,"{u'kind': u'ArrondissementOfFrance', u'code': u'37-1'}","{u'kind': u'ArrondissementOfFrance', u'code': u'37-2'}","{u'kind': u'ArrondissementOfFrance', u'code': u'37-3'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ministère de la justice","http://lannuaire.service-public.fr/services_locaux/centre/indre-et-loire/tgi-37261-01.html","2 Place Jean-Jaurès",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
