intitule,adresse,codepostal,ville,telephone,latitude,longitude
Tribunal de Grande Instance de Meaux,44 Avenue Salvador Allendé B.P. 230 ,77108,MEAUX CEDEX,+33 1 60 09 75 00,48.956216,2.888272
Tribunal de Grande Instance du Mans,Cité Judiciaire 1 Avenue Pierre Mendès-France ,72014,LE MANS CEDEX 2,+33 2 43 83 77 00,48.0064699,0.1997661
Tribunal de Grande Instance de Draguignan,Palais de Justice 11 Rue Pierre Clément   B.P. 273 ,83007,DRAGUIGNAN CEDEX,+33 4 94 60 57 00,43.537228,6.447793
Tribunal de Grande Instance de Versailles,  3 Avenue de l'Europe,78011,VERSAILLES CEDEX,+33 1 39 07 39 07,48.803612,2.130523
Tribunal de Grande Instance de Blois,  Place de la République,41018,BLOIS CEDEX,+33 2 54 44 60 99,47.589372,1.3338
Tribunal de Grande Instance de Vienne,  16 Place Charles de Gaulle,38209,VIENNE CEDEX,+33 4 74 78 81 81,45.525884,4.8739588
Tribunal de Grande Instance de Nevers,Place du Palais B.P. 6 ,58019,NEVERS CEDEX,+33 3 86 93 44 44,46.986588,3.157571
Tribunal de Grande Instance de Metz,3 Rue Haute Pierre B.P. 81022 ,57036,METZ CEDEX 01,+33 3 87 56 75 00,49.116779,6.171264
Tribunal de Grande Instance d'Ajaccio,4 boulevard Masseria BP 47 ,20181,AJACCIO CEDEX 1,+33 4 95 29 06 06,41.925605,8.736978
Tribunal de Grande Instance de Tours,  2 Place Jean-Jaurès,37928,TOURS CEDEX 9,+33 2 47 60 26 60,47.3900896,0.6897644
Tribunal de Grande Instance de Saint-Malo,1 Place Saint-Aaron CS 51731 ,35417,ST MALO CEDEX,+33 2 99 20 20 20,48.6481785,-2.0260898
Tribunal de Première Instance de Mata-Utu,Tribunal de Première Instance de MATA-UTU ,98600,UVEA,+681 72 27 15,-13.2833333,-176.1833333
Tribunal de Première Instance de Nouméa,2 Bd Extérieur   Fg Blanchot B.P. F4 ,98848,NOUMEA CEDEX,+687 27 93 50,-22.2758333,166.4580556
Tribunal de Grande Instance de Quimper,  48 A quai de l'Odet,29327,QUIMPER CEDEX,+33 2 98 82 88 00,47.992566,-4.108723
Tribunal de Grande Instance de Périgueux,19 Bis Cours Montaigne B.P. 9051 ,24019,PERIGUEUX CEDEX,+33 5 53 02 77 00,45.185563,0.720548
Tribunal de Grande Instance de Saint-Pierre,28 Rue Augustin Archambeaud B.P. 338 ,97448,ST PIERRE CEDEX,+33 2 62 96 10 00,-21.323885,55.486915
Tribunal de Grande Instance de Troyes,  83 Rue du Général de Gaulle,10026,TROYES CEDEX,+33 3 25 43 55 70,48.297202,4.069243
