intitule,type,adresse,codepostal,ville,telephone,latitude,longitude,
Greffe de LA ROCHELLE,GREFFE,14 RUE DU PALAIS Hotel de La Bourse,17,LA ROCHELLE,+33 546413465,46.159636,-1.153709,
Greffe de MARSEILLE,GREFFE,2 RUE EMILE POLLAK,13,MARSEILLE,+33 491547040,43.291342,5.374374,
Greffe de MANOSQUE,GREFFE,RUE DES TANNEURS,4,MANOSQUE,+33 492877426,43.830893,5.785401,
Greffe de VALENCIENNES,GREFFE,3 PL DU COMMERCE,59,VALENCIENNES,+33 327463478,50.357113,3.518332,
Greffe de TOURS,GREFFE,12 RUE BERTHELOT,37,TOURS CEDEX,+33 247312001,47.395121,0.688083,
Greffe de VANNES,GREFFE,19 RUE DES TRIBUNAUX,56,VANNES CEDEX,+33 297472289,47.658236,-2.760847,
Greffe de TARBES,GREFFE,SQ MAURICE TRELUT,65,TARBES,+33 562517777,43.221049,0.074533,
Greffe de SENS,GREFFE,1 RUE DU PALAIS DE JUSTICE,89,SENS,+33 386652353,48.196331,3.276994,
Greffe de LORIENT,GREFFE,3 RUE BENJAMIN DELESSERT,56,LORIENT,+33 297210153,47.746653,-3.367889,
Greffe de SAINT-BRIEUC,GREFFE,17 RUE PARMENTIER,22,ST BRIEUC CEDEX 1,+33 296336892,48.5088083,-2.751733,
Greffe de CLERMONT-FERRAND,GREFFE,40 RUE DE L'ANGE,63,CLERMONT FERRAND,+33 473160160,45.779788,3.079895,
Greffe de CAHORS,GREFFE,BD GAMBETTA,46,CAHORS,+33 565352434,44.448656,1.440078,
Greffe de CRETEIL,GREFFE,IMMEUBLE LE PASCAL,94,CRETEIL CEDEX,+33 143991007,48.780932,2.458556,
Greffe de BRIEY,GREFFE,4 RUE DU MARECHAL FOCH,54,BRIEY CEDEX,+33 382461504,49.248997,5.939666,
Greffe de CANNES,GREFFE,19 BD CARNOT,6,CANNES CEDEX,+33 483142100,43.556456,7.016884,
Greffe de CHALONS-EN-CHAMPAGNE,GREFFE,,51,CHALONS EN CHAMPAGNE,+33 326684860,48.959158,4.362881,
Greffe de DIJON,GREFFE,13 BD CLEMENCEAU,21,DIJON CEDEX,+33 380704551,47.327705,5.048132,
Greffe de EPINAL,GREFFE,1 PL FOCH,88,EPINAL,+33 329343376,48.173094,6.448138,
Greffe de DAX,GREFFE,55 AV VICTOR HUGO,40,DAX,+33 558900684,43.703894,-1.052756,
Greffe de CARCASSONNE,GREFFE,34 RUE DE STRASBOURG,11,CARCASSONNE,+33 468112730,43.212161,2.353663,
Greffe de BOULOGNE-SUR-MER,GREFFE,16 rue de la Barrière Saint-Michel,62,BOULOGNE SUR MER,+33 321874767,50.7262795,1.6095371,
Greffe de AJACCIO,GREFFE,AV MARECHAL LYAUTEY,20,AJACCIO CEDEX 9,+33 495231782,41.937945,8.744795,
Greffe de AMIENS,GREFFE,18 RUE LAMARTINE,80,AMIENS CEDEX 1,+33 322914323,49.891918,2.304865,
Greffe de ALBI,GREFFE,PLACE DU PALAIS,81,ALBI,+33 563540083,43.92632,2.145789,
Greffe de AUXERRE,GREFFE,90 RUE DE PARIS,89,AUXERRE CEDEX,+33 386722100,47.798389,3.569212,
Greffe de BEZIERS,GREFFE,93 AV PRESIDENT WILSON CITE JUDICIAIRE,34,BEZIERS,+33 467282905,43.336564,3.227513,
Greffe de BAR-LE-DUC,GREFFE,5 RUE FRANCOIS DE GUISE,55,BAR LE DUC,+33 329790939,48.77087,5.157652,
Greffe de CHATEAUROUX,GREFFE,11 RUE PAUL LOUIS COURIER,36,CHATEAUROUX,+33 254340626,46.811434,1.686779,
Greffe de ANNECY,GREFFE,19 AV DU PARMELAN,74,ANNECY CEDEX,+33 450050545,45.905524,6.131979,
Greffe de CHERBOURG,GREFFE,22 RUE DE L'ANCIEN QUAI,50,CHERBOURG CEDEX,+33 233932460,49.639093,-1.625298,
Greffe de COMPIEGNE,GREFFE,2 RUE DAHOMEY,60,COMPIEGNE,+33 344385151,49.417419,2.828684,
Greffe de ARRAS,GREFFE,13 RUE ROGER SALENGRO,62,ARRAS,+33 321242525,50.293843,2.768651,
Greffe de FOIX,GREFFE,14 BD DU SUD,9,FOIX CEDEX,+33 561024280,42.966559,1.606461,
Greffe de MELUN,GREFFE,2 AV DU GENERAL LECLERC,77,MELUN,+33 164798400,48.526354,2.652909,
Greffe de EVRY,GREFFE,1 RUE DE LA PATINOIRE,91,EVRY CEDEX,+33 169473650,48.629441,2.430564,
